Name,Uniform Type Identifier,Assigned Number,Specification
Aerobic Heart Rate Lower Limit,org.bluetooth.characteristic.aerobic_heart_rate_lower_limit,10878,GSS
Aerobic Heart Rate Upper Limit,org.bluetooth.characteristic.aerobic_heart_rate_upper_limit,10884,GSS
Aerobic Threshold,org.bluetooth.characteristic.aerobic_threshold,10879,GSS
Age,org.bluetooth.characteristic.age,10880,GSS
Aggregate,org.bluetooth.characteristic.aggregate,10842,GSS
Alert Category ID,org.bluetooth.characteristic.alert_category_id,10819,GSS
Alert Category ID Bit Mask,org.bluetooth.characteristic.alert_category_id_bit_mask,10818,GSS
Alert Level,org.bluetooth.characteristic.alert_level,10758,GSS
Alert Notification Control Point,org.bluetooth.characteristic.alert_notification_control_point,10820,GSS
Alert Status,org.bluetooth.characteristic.alert_status,10815,GSS
Altitude,org.bluetooth.characteristic.altitude,10931,GSS
Anaerobic Heart Rate Lower Limit,org.bluetooth.characteristic.anaerobic_heart_rate_lower_limit,10881,GSS
Anaerobic Heart Rate Upper Limit,org.bluetooth.characteristic.anaerobic_heart_rate_upper_limit,10882,GSS
Anaerobic Threshold,org.bluetooth.characteristic.anaerobic_threshold,10883,GSS
Analog,org.bluetooth.characteristic.analog,10840,GSS
Analog Output,org.bluetooth.characteristic.analog_output,10841,GSS
Apparent Wind Direction,org.bluetooth.characteristic.apparent_wind_direction,10867,GSS
Apparent Wind Speed,org.bluetooth.characteristic.apparent_wind_speed,10866,GSS
Appearance,org.bluetooth.characteristic.gap.appearance,10753,GSS
Barometric Pressure Trend,org.bluetooth.characteristic.barometric_pressure_trend,10915,GSS
Battery Level,org.bluetooth.characteristic.battery_level,10777,GSS
Battery Level State,org.bluetooth.characteristic.battery_level_state,10779,GSS
Battery Power State,org.bluetooth.characteristic.battery_power_state,10778,GSS
Blood Pressure Feature,org.bluetooth.characteristic.blood_pressure_feature,10825,GSS
Blood Pressure Measurement,org.bluetooth.characteristic.blood_pressure_measurement,10805,GSS
Body Composition Feature,org.bluetooth.characteristic.body_composition_feature,10907,GSS
Body Composition Measurement,org.bluetooth.characteristic.body_composition_measurement,10908,GSS
Body Sensor Location,org.bluetooth.characteristic.body_sensor_location,10808,GSS
Bond Management Control Point,org.bluetooth.characteristic.bond_management_control_point,10916,GSS
Bond Management Features,org.bluetooth.characteristic.bond_management_feature,10917,GSS
Boot Keyboard Input Report,org.bluetooth.characteristic.boot_keyboard_input_report,10786,GSS
Boot Keyboard Output Report,org.bluetooth.characteristic.boot_keyboard_output_report,10802,GSS
Boot Mouse Input Report,org.bluetooth.characteristic.boot_mouse_input_report,10803,GSS
Central Address Resolution,org.bluetooth.characteristic.gap.central_address_resolution,10918,GSS
CGM Feature,org.bluetooth.characteristic.cgm_feature,10920,GSS
CGM Measurement,org.bluetooth.characteristic.cgm_measurement,10919,GSS
CGM Session Run Time,org.bluetooth.characteristic.cgm_session_run_time,10923,GSS
CGM Session Start Time,org.bluetooth.characteristic.cgm_session_start_time,10922,GSS
CGM Specific Ops Control Point,org.bluetooth.characteristic.cgm_specific_ops_control_point,10924,GSS
CGM Status,org.bluetooth.characteristic.cgm_status,10921,GSS
Cross Trainer Data,org.bluetooth.characteristic.cross_trainer_data,10958,GSS
CSC Feature,org.bluetooth.characteristic.csc_feature,10844,GSS
CSC Measurement,org.bluetooth.characteristic.csc_measurement,10843,GSS
Current Time,org.bluetooth.characteristic.current_time,10795,GSS
Cycling Power Control Point,org.bluetooth.characteristic.cycling_power_control_point,10854,GSS
Cycling Power Feature,org.bluetooth.characteristic.cycling_power_feature,10853,GSS
Cycling Power Measurement,org.bluetooth.characteristic.cycling_power_measurement,10851,GSS
Cycling Power Vector,org.bluetooth.characteristic.cycling_power_vector,10852,GSS
Database Change Increment,org.bluetooth.characteristic.database_change_increment,10905,GSS
Date of Birth,org.bluetooth.characteristic.date_of_birth,10885,GSS
Date of Threshold Assessment,org.bluetooth.characteristic.date_of_threshold_assessment,10886,GSS
Date Time,org.bluetooth.characteristic.date_time,10760,GSS
